Track,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,URL
空と君のあいだに,中島みゆき,0.59,0.874,6,-4.44,0,0.0297,0.181,2.71e-05,0.355,0.476,106.896,audio_features,https://open.spotify.com/track/29NdfvdZu1eymPW07pmpAd
恋しさと せつなさと 心強さと,Ryoko Shinohara,0.599,0.857,2,-8.378,1,0.0567,0.201,0.000595,0.112,0.662,129.945,audio_features,https://open.spotify.com/track/2gnw7ushUAnh0sfil88sL3
ラブリー,Ozawa Kenji,0.692,0.712,4,-7.643,1,0.119,0.112,0.0,0.0614,0.912,89.935,audio_features,https://open.spotify.com/track/3hssL0gevfZHITLLQ3BaS2
TRUE LOVE,Fumiya Fujii,0.668,0.355,1,-11.32,1,0.0254,0.00578,0.0137,0.0983,0.153,101.833,audio_features,https://open.spotify.com/track/0fF6StCPuAyFnENfLcWtiz
"Hello, my friend",Yumi Matsutoya,0.658,0.499,4,-7.836,1,0.0234,0.438,4.75e-05,0.0653,0.533,82.969,audio_features,https://open.spotify.com/track/41NIQxcwqfE4M4iJ6UQHFX
ただ泣きたくなるの,中山美穂,0.404,0.692,10,-5.701,1,0.0317,0.647,1.01e-05,0.339,0.636,173.868,audio_features,https://open.spotify.com/track/5yPj7ceaoE1y2HN33S8o6c
Tomorrow never knows,Mr.Children,0.637,0.485,0,-10.263,1,0.0245,0.173,0.0,0.122,0.403,109.035,audio_features,https://open.spotify.com/track/2CbDcSVFCbMSfLMoZiAFYN
人魚,NOKKO,0.315,0.353,0,-7.724,1,0.0301,0.733,0.143,0.0987,0.147,129.844,audio_features,https://open.spotify.com/track/65V6mbrrHTcrW4NduSvajz
OH MY LITTLE GIRL,Yutaka Ozaki,0.576,0.505,2,-7.282,1,0.0266,0.164,0.0,0.118,0.226,138.439,audio_features,https://open.spotify.com/track/4w8BWDyfDxlNLWKQaiUhmd
愛のために,Tamio Okuda,0.62,0.78,4,-8.174,1,0.0279,0.0103,0.0,0.0766,0.503,98.944,audio_features,https://open.spotify.com/track/4FcASwuOUEAfzgMEB8GJAD
TOMORROW,Mayo Okamoto,0.618,0.911,2,-2.831,0,0.0251,0.0518,8.62e-05,0.367,0.722,105.724,audio_features,https://open.spotify.com/track/1KZUhS8ADGo3DZHzuhKaQD
LOVE LOVE LOVE,DREAMS COME TRUE,0.466,0.341,1,-11.915,1,0.0272,0.504,0.0,0.126,0.284,83.863,audio_features,https://open.spotify.com/track/0kI1eqATzXs5ztZ0nJtQMa
WOW WAR TONIGHT〜時には起こせよムーヴメント〜 - TWO MILLION MIX,H Jungle With t,0.569,0.879,2,-6.56,1,0.0649,0.16,0.0,0.341,0.737,169.997,audio_features,https://open.spotify.com/track/19oxKZQilcf3pGhduW6TPg
"Hello,Again~昔からある場所~",My Little Lover,0.546,0.621,1,-8.48,0,0.0241,0.0101,0.000766,0.0974,0.488,99.028,audio_features,https://open.spotify.com/track/4QXpGTmnWwftsbcSVhBeAm
HELLO,Masaharu Fukuyama,0.515,0.847,4,-5.012,1,0.0344,0.0626,0.0,0.328,0.826,156.006,audio_features,https://open.spotify.com/track/5O1VtFNxDZe7fgJozYlhyw
ら・ら・ら (2019 Remastered),Maki Ohguro,0.578,0.907,5,-2.357,1,0.0292,0.00623,0.0,0.316,0.832,121.229,audio_features,https://open.spotify.com/track/08WMcRBYuUEzTnbQ5v9wuq
夢見る少女じゃいられない,Nanase Aikawa,0.534,0.966,1,-3.739,0,0.0744,0.0152,0.000161,0.0193,0.726,159.012,audio_features,https://open.spotify.com/track/3d7FJny6sehhNgQwGGd8f3
Over Drive,JUDY AND MARY,0.475,0.746,7,-4.56,1,0.0352,0.00673,1.91e-05,0.0752,0.714,147.981,audio_features,https://open.spotify.com/track/34GSVqN6ZisP7dBIB20xPm
DA.YO.NE,EAST END,0.836,0.692,1,-9.204,1,0.123,0.0536,0.00371,0.333,0.922,108.022,audio_features,https://open.spotify.com/track/2NmWKOqNsaKvgpiFnvYh22
春よ、来い,Yumi Matsutoya,0.542,0.529,10,-10.024,0,0.0318,0.634,0.0,0.108,0.184,87.911,audio_features,https://open.spotify.com/track/7BgNhufmVuEQjRo86YrsJR
ロビンソン,SPITZ,0.636,0.81,6,-3.985,0,0.0277,0.586,0.0,0.151,0.622,111.053,audio_features,https://open.spotify.com/track/5YP52gnoypy9H1jg5RIwUW
DEPARTURES - RADIO EDIT,globe,0.614,0.708,5,-8.829,0,0.0366,0.0104,0.000459,0.306,0.152,100.004,audio_features,https://open.spotify.com/track/2ggw0Py9eptisSvB1xkgkc
名もなき詩,Mr.Children,0.555,0.852,7,-5.094,1,0.0375,0.0417,0.0,0.2,0.7,125.898,audio_features,https://open.spotify.com/track/60ba7YZ3yqbCDGAkPNXzBh
LA･LA･LA LOVE SONG,Toshinobu Kubota,0.758,0.884,8,-5.727,0,0.0327,0.109,4.91e-05,0.0815,0.96,117.917,audio_features,https://open.spotify.com/track/5dEojWGT3junlaa989hzGL
アジアの純真,Puffy AmiYumi,0.557,0.737,4,-5.047,1,0.0349,0.0503,1.23e-05,0.0734,0.244,126.094,audio_features,https://open.spotify.com/track/6eN20qYKGWJH7mj4wqZI5P
そばかす,JUDY AND MARY,0.487,0.797,9,-4.265,1,0.0424,0.0736,4.36e-06,0.377,0.573,169.839,audio_features,https://open.spotify.com/track/5zydI0vRlMI6mrEKgZR8zq
ガッツだぜ!! - アルバム・ミックス,Ulfuls,0.672,0.911,11,-7.043,0,0.0535,0.0401,0.0,0.189,0.864,123.774,audio_features,https://open.spotify.com/track/1FVSKCOSpwe0G8XGu3zv8L
田園,Koji Tamaki,0.411,0.933,7,-6.767,1,0.0474,0.19,0.0,0.11,0.671,75.281,audio_features,https://open.spotify.com/track/0b2PHexDZWgFbvRRswrfRk
MajiでKoiする5秒前,Ryoko Hirosue,0.694,0.912,0,-3.619,1,0.0297,0.073,0.0,0.0406,0.793,103.966,audio_features,https://open.spotify.com/track/5ZykymYCbzRWl1b2A2LZZu
Body & Soul,SPEED,0.749,0.925,11,-5.573,0,0.0605,0.035,7.42e-06,0.235,0.867,122.847,audio_features,https://open.spotify.com/track/4GiCw6vUeSi9fbP4P7nVpW
情熱,UA,0.661,0.872,2,-5.562,0,0.0453,0.158,0.0,0.24,0.917,89.839,audio_features,https://open.spotify.com/track/2TwrieAjsEMIwTGVI6pjrp
白い雲のように,Saruganseki,0.633,0.773,7,-5.996,1,0.0267,0.103,0.0,0.101,0.77,119.055,audio_features,https://open.spotify.com/track/6YIkR7cwUp21KPsoFunDxf
接吻 kiss - Single Version,Original Love,0.61,0.715,4,-10.605,0,0.0438,0.259,6.07e-06,0.0596,0.652,96.048,audio_features,https://open.spotify.com/track/5EyleO5KEgTHTi8pX7JTTs
バンザイ ～好きでよかった～,Ulfuls,0.462,0.952,7,-3.666,1,0.113,0.269,1.13e-05,0.326,0.747,185.574,audio_features,https://open.spotify.com/track/4f0II2oFQupDKcA7khBXaN
やさしい気持ち (しあわせ Version),Chara,0.488,0.837,11,-7.759,1,0.0308,0.355,2.85e-06,0.27,0.424,93.442,audio_features,https://open.spotify.com/track/5NZDQb3uUEHPpNuuRXQFlT
長い間,Kiroro,0.562,0.517,5,-6.829,1,0.0289,0.816,0.0,0.0977,0.355,122.942,audio_features,https://open.spotify.com/track/5kfsa8umNApDtGrVG8uHeI
Shangri-La,Denki Groove,0.591,0.885,10,-7.296,0,0.0465,0.00304,0.407,0.369,0.742,119.996,audio_features,https://open.spotify.com/track/5Q18D00FTTQ1LEPMFrtgyc
ひだまりの詩,Le Couple,0.62,0.234,8,-12.685,1,0.0266,0.447,1.61e-06,0.0791,0.276,89.978,audio_features,https://open.spotify.com/track/3uyj8q4PiHangEmluLDV2q
PRIDE,Miki Imai,0.716,0.474,3,-6.884,1,0.0258,0.253,9.78e-05,0.109,0.434,110.828,audio_features,https://open.spotify.com/track/2zntBR9UDPSvQCuXlFJpD5
さすらい,Tamio Okuda,0.591,0.793,4,-6.128,1,0.0316,0.0126,1.52e-05,0.157,0.813,118.247,audio_features,https://open.spotify.com/track/6AyErTw94FC8ZF339m24Vm
1/2,Makoto Kawamoto,0.718,0.728,9,-5.877,1,0.0284,0.351,0.000112,0.0642,0.375,122.943,audio_features,https://open.spotify.com/track/0juf8VFVDQZYQ6hg1r7JRI
